AtrialCardiomyocytesLeft	#eac075
AtrialCardiomyocytesRight	#4c6b8a
AtrialCardiomyocytesCycling	#e94bc7
VentricularCardiomyocytesLeftCompact	#ab1c3c
VentricularCardiomyocytesRightCompact	#fdba45
VentricularCardiomyocytesLeftTrabeculated	#2b9200
VentricularCardiomyocytesRightTrabeculated	#0273a8
VentricularCardiomyocytesCycling	#e1acff
SinoatrialNodePacemakerCells	#854834
AtrioventricularNodePacemakerCells	#688500
VentricularConductionSystemProximal	#01ccc8
VentricularConductionSystemDistal	#b58fab
GreatVesselAdventitialFibroblasts	#ff7e97
CoronaryVesselAdventitialFibroblasts	#ff9b6e
MyocardialInterstitialFibroblasts	#8a6800
SubEpicardialFibroblasts	#206601
Myofibroblasts	#1bdebf
LymphNodeFibroblasticReticularCells	#005aa0
ValveInterstitialCells	#e478ff
GreatVesselSmoothMuscleCells	#ff665f
CoronarySmoothMuscleCells	#d2cb18
DuctusArteriosusSmoothMuscleCells	#83d7b3
CoronaryPericytes	#9088ff
PericardialCellsIntermediate	#c95e00
PericardialCellsFibrous	#01e077
PericardialCellsParietal	#ff88e4
GreatVesselArterialEndothelialCells	#d4004b
GreatVesselVenousEndothelialCells	#8f4300
CoronaryArterialEndothelialCells	#89da5a
CoronaryVenousEndothelialCells	#006f86
CoronaryCapillaryEndothelialCells	#aa7dff
EndocardialCells	#ff8241
EndocardialCushionCells	#46603a
ValveEndothelialCells	#414eb6
LymphaticEndothelialCells	#8b3f60
MesothelialEpicardialCells	#0295fe
EpicardiumDerivedCells	#ff92c4
NeuronPrecursors	#d30038
ChromaffinCells	#726800
SympatheticNeurons	#01894b
ParasympatheticNeurons	#545191
SchwannCellPrecursors	#b0d276
SchwannCells	#b30079
MonocytesMPOpos	#c50066
Monocytes	#fab4b6
MonocyteDerivedCells	#d14008
MacrophagesCX3CR1pos	#eabe97
MacrophagesTIMD4pos	#b2a200
MacrophagesLYVE1pos	#4a6005
MacrophagesATF3pos	#3db833
DendriticCellsType1	#007859
DendriticCellsMature	#01a9db
PlasmacytoidDendriticCells	#2c54ab
MastCells	#d0bef2
Megakaryocytes	#94298f
TCellsCD4pos	#ff387c
TCellsCD8pos	#9e3429
TregsCD4pos	#b37700
ProBCells	#8dab00
BCells	#a8d1a1
BCellsMS4A1pos	#00d2f0
NaturalKillerCells	#abb4ff
InnateLymphoidCells	#72497f
